UserId,VoteTypeId,n
"200486","2","236"
"200486","3","9"
"200488","2","1"
"200489","2","54"
"200489","3","8"
"200490","2","1"
"200490","3","1"
"200492","2","1"
"200496","2","3"
"200503","2","15"
"200507","2","5"
"200507","3","1"
"200508","2","31"
"200508","3","1"
"200509","2","41"
"200510","2","3"
"200511","3","2"
"200513","2","2"
"200513","3","4"
"200516","2","82"
"200516","3","1"
"200518","2","107"
"200518","3","1"
"200520","2","15"
"200520","3","2"
"200521","2","2"
"200523","2","1"
"200524","2","23"
"200524","3","1"
"200526","2","2"
"200531","2","51"
"200531","3","1"
"200532","2","38"
"200533","2","3"
"200534","2","1"
"200535","2","34"
"200537","2","1"
"200539","2","1"
"200540","2","465"
"200540","3","4"
"200541","2","16"
"200542","2","1"
"200543","2","9"
"200547","2","4"
"200550","2","1"
"200551","2","16"
"200552","2","1"
"200552","3","2"
"200554","2","74"
"200554","3","6"
"200556","2","9"
"200556","3","1"
"200557","2","218"
"200559","2","2"
"200559","3","2"
"200563","2","17"
"200565","2","14"
"200565","3","2"
"200567","2","432"
"200567","3","5"
"200569","2","1"
"200571","2","1"
"200575","2","1"
"200576","2","50"
"200576","3","1"
"200578","2","120"
"200579","2","1"
"200582","2","3"
"200582","3","1"
"200584","2","65"
"200584","3","3"
"200586","2","30"
"200586","3","2"
"200590","2","2"
"200595","2","2"
"200597","2","12"
"200602","2","3"
"200602","3","1"
"200603","2","43"
"200603","3","1"
"200604","2","1"
"200605","2","2"
"200606","2","3"
"200607","2","2"
"200609","2","1057"
"200609","3","14"
"200612","2","9"
"200612","3","1"
"200613","2","3"
"200615","2","6"
"200616","2","2"
"200617","2","2"
"200618","2","3"
"200619","2","498"
"200619","3","16"
"200620","2","1"
"200622","2","18"
"200622","3","1"
"200623","2","7"
"200624","2","1"
"200625","2","11"
"200625","3","5"
"200626","2","45"
"200626","3","3"
"200628","2","31"
"200628","3","1"
"200630","2","3"
"200631","2","4"
"200631","3","7"
"200632","2","21"
"200632","3","1"
"200633","2","16"
"200634","2","5"
"200637","2","1"
"200639","2","1"
"200643","2","1"
"200645","2","3"
"200646","2","3"
"200653","2","469"
"200653","3","7"
"200654","2","4"
"200655","2","33"
"200656","2","8"
"200656","3","3"
"200658","2","1"
"200663","2","7"
"200669","2","165"
"200669","3","7"
"200670","2","9"
"200671","2","1"
"200672","2","9"
"200672","3","1"
"200675","2","1"
"200681","2","4"
"200681","3","1"
"200686","2","2"
"200687","2","2"
"200688","2","499"
"200688","3","4"
"200690","2","1"
"200691","2","294"
"200691","3","2"
"200693","3","2"
"200695","2","7"
"200696","2","13"
"200696","3","1"
"200697","2","1"
"200698","2","2"
"200699","2","1"
"200702","2","3"
"200704","2","3"
"200704","3","1"
"200705","2","3"
"200707","2","1"
"200709","2","2"
"200710","2","27"
"200711","2","2"
"200712","2","2"
"200713","2","17"
"200714","2","3"
"200716","2","338"
"200716","3","20"
"200719","2","39"
"200719","3","1"
"200723","2","6"
"200724","2","2"
"200725","2","5"
"200727","2","3"
"200730","2","5"
"200731","2","34"
"200731","3","2"
"200733","2","28"
"200736","2","11"
"200737","2","1"
"200739","2","1"
"200740","2","2"
"200743","2","78"
"200743","3","2"
"200745","2","1"
"200746","2","3"
"200746","3","4"
"200750","2","7"
"200752","2","160"
"200752","3","1"
"200753","2","33"
"200753","3","6"
"200754","2","109"
"200759","2","119"
"200759","3","24"
"200762","2","1"
"200762","3","1"
"200763","2","1"
"200764","2","86"
"200764","3","2"
"200765","2","1"
"200765","3","2"
"200766","2","7"
"200768","2","319"
"200768","3","9"
"200770","2","1"
"200771","2","1"
"200775","2","34"
"200775","3","1"
"200776","2","2"
"200777","2","1"
"200778","2","3"
"200780","2","1"
"200783","2","458"
"200783","3","6"
"200786","2","3"
"200788","2","45"
"200788","3","2"
"200793","2","1"
"200794","2","13"
"200795","2","2"
"200796","2","18"
"200797","2","2"
"200800","2","5"
"200800","3","1"
"200801","2","4"
"200802","2","66"
"200802","3","1"
"200803","2","47"
"200803","3","1"
"200806","2","1"
"200807","2","11"
"200810","2","5"
"200814","2","22"
"200814","3","1"
"200815","2","1"
"200815","3","1"
"200816","2","66"
"200816","3","1"
"200817","2","20"
"200818","2","9"
"200820","2","21"
"200820","3","12"
"200821","2","63"
"200822","2","7"
"200822","3","1"
"200824","2","3"
"200827","2","2"
"200828","2","155"
"200828","3","6"
"200829","2","9"
"200830","2","1"
"200832","2","19"
"200837","2","17"
"200840","2","1"
"200841","2","35"
"200843","2","3"
"200844","2","30"
"200845","2","3"
"200846","2","11"
"200848","2","40"
"200849","2","3"
"200851","2","2"
"200856","2","122"
"200856","3","20"
"200857","2","22"
"200857","3","2"
"200859","2","30"
"200860","2","17"
"200860","3","3"
"200861","2","24"
"200861","3","1"
"200862","2","223"
"200862","3","3"
"200865","2","68"
"200865","3","2"
"200868","2","3"
"200869","2","28"
"200871","2","19"
"200872","2","64"
"200872","3","2"
"200874","2","3"
"200875","2","9"
"200875","3","3"
"200876","2","100"
"200876","3","2"
"200877","2","47"
"200877","3","1"
"200880","2","2"
"200882","2","69"
"200882","3","1"
"200884","2","5"
"200886","2","44"
"200886","3","2"
"200887","2","21"
"200887","3","1"
"200890","2","1"
"200891","2","70"
"200894","2","152"
"200894","3","12"
"200895","2","3"
"200895","3","1"
"200898","2","328"
"200898","3","3"
"200901","2","5"
"200906","2","1"
"200907","2","5"
"200908","2","4"
"200909","2","15"
"200910","2","192"
"200910","3","8"
"200911","2","25"
"200912","2","1"
"200912","3","1"
"200914","2","3"
"200915","2","9"
"200916","2","65"
"200916","3","2"
"200920","2","57"
"200922","2","7"
"200923","2","5"
"200924","2","167"
"200924","3","2"
"200925","2","2"
"200926","2","2"
"200926","3","5"
"200929","2","6"
"200930","2","14"
"200930","3","2"
"200931","2","3"
"200936","2","2293"
"200936","3","58"
"200937","2","65"
"200937","3","1"
"200940","2","11"
"200942","2","30"
"200943","2","1"
"200944","2","1"
"200945","2","86"
"200952","2","1"
"200953","3","3"
"200956","2","24"
"200958","2","2"
"200960","2","29"
"200961","2","10"
"200961","3","1"
"200962","2","9"
"200962","3","1"
"200963","2","1"
"200967","2","16"
"200975","2","19"
"200976","2","12"
"200976","3","1"
"200977","2","2"
"200979","2","2"
"200979","3","1"
"200980","2","3"
"200983","2","257"
"200983","3","13"
"200985","2","165"
"200985","3","11"
"200986","2","13"
"200987","2","308"
"200987","3","1"
"200988","2","1"
"200993","2","122"
"200999","2","1"
"201003","2","20"
"201003","3","2"
"201004","2","15"
"201006","2","3"
"201008","2","14"
"201010","2","6"
"201012","2","25"
"201012","3","1"
"201014","2","11"
"201016","2","6"
"201017","2","3"
"201019","2","19"
"201021","2","75"
"201021","3","3"
"201026","2","5"
"201027","2","74"
"201027","3","1"
"201028","2","3"
"201030","2","1"
"201037","2","108"
"201038","2","1"
"201041","2","1"
"201042","2","421"
"201042","3","13"
"201048","2","16"
"201051","2","4"
"201053","2","8"
"201056","2","4"
"201056","3","4"
"201057","3","1"
"201058","2","44"
"201059","2","229"
"201059","3","1"
"201064","2","78"
"201064","3","4"
"201065","2","76"
"201066","2","50"
"201066","3","1"
"201068","2","3"
"201069","2","16"
"201070","2","351"
"201070","3","4"
"201071","2","20"
"201071","3","1"
"201073","2","1"
"201073","3","2"
"201076","2","5"
"201078","2","1979"
"201078","3","21"
"201079","2","2"
"201079","3","1"
"201081","2","1"
"201085","2","2"
"201086","2","1"
"201088","2","1639"
"201088","3","19"
"201090","2","211"
"201090","3","2"
"201091","2","6"
"201092","2","63"
"201093","2","2"
"201096","2","2"
"201103","2","56"
"201103","3","1"
"201105","2","3"
"201106","2","1"
"201107","2","10"
"201113","2","140"
"201113","3","3"
"201114","2","64"
"201114","3","1"
"201115","2","1"
"201116","2","107"
"201116","3","7"
"201117","2","10"
"201120","2","2"
"201121","2","112"
"201123","2","1"
"201124","2","2"
"201125","2","655"
"201125","3","19"
"201127","2","3"
"201130","2","304"
"201130","3","2"
"201132","2","2"
"201134","2","31"
"201137","2","4"
"201139","2","17"
"201140","2","822"
"201140","3","12"
"201142","2","592"
"201142","3","20"
"201145","2","2"
"201147","2","1"
"201149","2","12"
"201149","3","1"
"201156","2","20"
"201156","3","5"
"201158","2","11"
"201165","2","1"
"201165","3","1"
"201166","2","2"
"201167","2","3"
"201169","2","19"
"201169","3","2"
"201172","2","115"
"201175","2","41"
"201179","2","1"
"201181","2","1"
"201181","3","1"
"201182","2","3"
"201185","2","2"
"201191","2","39"
"201192","2","31"
"201197","2","71"
"201197","3","3"
"201198","2","1"
"201199","2","3047"
"201199","3","57"
"201201","2","30"
"201202","2","301"
"201202","3","3"
"201208","2","9"
"201211","2","4"
"201213","2","13"
"201214","2","4"
"201214","3","1"
"201215","2","100"
"201215","3","1"
"201217","2","64"
"201220","2","1"
"201225","2","316"
"201225","3","12"
"201226","2","26"
"201228","2","4"
"201229","2","31"
"201230","2","1"
"201231","2","305"
"201231","3","12"
"201232","2","55"
"201232","3","2"
"201235","2","1"
"201237","2","3"
"201237","3","1"
"201240","2","3"
"201241","2","23"
"201242","2","407"
"201242","3","30"
"201244","2","112"
"201244","3","1"
"201251","2","519"
"201251","3","12"
"201255","2","325"
"201255","3","8"
"201259","2","8"
"201260","2","1"
"201261","2","2"
"201263","2","43"
"201265","2","6"
"201267","2","1"
"201270","2","1000"
"201270","3","9"
"201271","2","123"
"201271","3","4"
"201272","2","77"
"201272","3","10"
"201275","2","7"
"201276","2","4"
"201277","2","1"
"201278","2","13"
"201281","2","4"
"201282","2","27"
"201284","2","1"
"201287","2","1"
"201288","2","2"
"201290","2","15"
"201290","3","1"
"201291","2","1"
"201292","2","1"
"201293","2","1"
"201297","2","32"
"201297","3","3"
"201298","2","1"
"201300","2","2"
"201302","2","36"
"201302","3","9"
"201303","2","103"
"201303","3","4"
"201306","2","184"
"201306","3","8"
"201307","2","7"
"201307","3","2"
"201308","2","108"
"201311","2","4"
"201313","2","2"
"201314","2","1"
"201315","2","31"
"201315","3","1"
"201316","2","29"
"201318","2","3"
"201318","3","2"
"201319","2","3"
"201321","2","2"
"201323","2","4"
"201331","2","3"
"201332","2","1"
"201334","2","1"
"201336","2","5"
"201339","2","1"
"201342","2","5"
"201343","2","1"
"201345","2","5"
"201348","2","1"
"201349","2","2"
"201351","2","1"
"201354","2","90"
"201356","2","18"
"201357","2","6"
"201359","2","8167"
"201359","3","145"
"201363","2","112"
"201363","3","2"
"201365","2","84"
"201365","3","2"
"201366","2","1"
"201367","2","1"
"201368","2","1"
"201370","2","10"
"201370","3","1"
"201372","2","6"
"201372","3","1"
"201373","2","3"
"201374","2","12"
"201374","3","2"
"201376","2","74"
"201377","2","48"
"201377","3","2"
"201380","2","1"
"201380","3","3"
"201381","2","190"
"201381","3","7"
"201382","2","146"
"201382","3","1"
"201383","2","2"
"201384","2","3"
"201387","2","636"
"201387","3","32"
"201388","3","4"
"201392","2","9"
"201393","2","522"
"201393","3","23"
"201395","2","1"
"201398","2","7"
"201401","2","21"
"201401","3","1"
"201405","2","32"
"201406","2","37"
"201406","3","8"
"201408","2","11"
"201408","3","1"
"201411","2","3"
"201414","2","2"
"201417","2","51"
"201420","2","1"
"201423","2","1"
"201423","3","2"
"201426","2","2"
"201427","2","52"
"201429","2","12"
"201429","3","6"
"201432","2","2"
"201432","3","1"
"201436","2","55"
"201436","3","4"
"201438","2","94"
"201438","3","10"
"201440","2","2"
"201440","3","1"
"201441","2","3"
"201444","2","1"
"201445","2","3"
"201446","2","2"
"201448","2","7"
"201448","3","1"
"201451","2","47"
"201451","3","1"
"201453","2","86"
"201453","3","4"
"201454","2","13"
"201455","2","5"
"201455","3","1"
"201457","2","3"
"201459","2","1"
"201461","2","4"
"201462","2","1"
"201463","2","5"
"201465","2","2"
"201466","2","1"
"201467","2","1"
"201469","2","591"
"201469","3","54"
"201473","2","5"
"201473","3","1"
"201482","2","1035"
"201482","3","25"
"201483","2","20"
"201484","2","1"
"201486","2","6"
"201487","2","67"
"201487","3","1"
"201488","2","3"
"201490","2","1"
"201491","2","1"
"201491","3","1"
"201492","2","3"
"201494","2","8"
"201497","2","9"
"201498","2","425"
"201498","3","14"
"201500","2","7"
"201501","2","3"
"201501","3","2"
"201506","2","38"
"201506","3","1"
"201509","2","7"
"201509","3","1"
"201514","2","73"
"201514","3","1"
"201515","2","6"
"201519","2","10"
"201521","2","20"
"201521","3","7"
"201524","2","115"
"201524","3","1"
"201526","2","30"
"201528","2","157"
"201528","3","5"
"201530","2","23"
"201533","2","24"
"201534","2","59"
"201535","2","18"
"201537","2","14"
"201537","3","1"
"201538","2","2"
"201539","2","1"
"201541","2","31"
"201546","2","3"
"201554","2","87"
"201554","3","16"
"201555","2","1"
"201556","2","3"
"201557","2","101"
"201557","3","2"
"201559","2","5"
"201560","2","5"
"201561","2","44"
"201561","3","5"
"201563","2","1"
"201566","2","1"
"201567","2","68"
"201570","2","2"
"201570","3","1"
"201571","2","25"
"201571","3","2"
"201572","2","58"
"201572","3","2"
"201576","2","151"
"201576","3","7"
"201578","2","1"
"201579","2","4"
"201581","2","22"
"201585","2","1"
"201586","2","3"
"201587","2","9"
"201591","2","3"
"201591","3","1"
"201592","2","14"
"201593","2","3"
"201595","2","7"
"201596","2","29"
"201597","2","15"
"201597","3","1"
"201598","2","17"
"201598","3","1"
"201601","2","86"
"201601","3","1"
"201602","2","14"
"201605","2","33"
"201605","3","2"
"201606","2","1"
"201607","2","2"
"201607","3","1"
"201608","2","1"
"201610","2","6"
"201611","2","1"
"201611","3","1"
"201612","2","5"
"201613","2","32"
"201614","2","295"
"201614","3","1"
"201618","2","106"
"201618","3","3"
"201619","2","132"
"201619","3","7"
"201621","2","40"
"201621","3","3"
"201623","2","35"
"201623","3","1"
"201626","2","2"
"201630","2","147"
"201630","3","5"
"201633","2","91"
"201633","3","5"
"201634","2","5"
